"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 16 18:52:38 GMT 2023","Tue May 16 18:53:29 GMT 2023","51021","","My Account tests TF - Desktop","","","","At Desktop edit personal data - Gender M",""
"passed","Tue May 16 20:43:35 GMT 2023","Tue May 16 20:44:01 GMT 2023","25639","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate valid shipping in the product page",""
"passed","Tue May 16 18:38:26 GMT 2023","Tue May 16 18:38:52 GMT 2023","26110","","Category tests TF - Desktop","","","","Validate ordenation by De Z a A",""
"passed","Tue May 16 18:42:25 GMT 2023","Tue May 16 18:42:56 GMT 2023","31224","","Checkout tests TF - Desktop","","","","Validade mandatory phone alert is displayed",""
"passed","Tue May 16 20:25:23 GMT 2023","Tue May 16 20:26:04 GMT 2023","40782","","Login tests TF - Mobile","","","","Login with invalid email format - SamsungS10",""
"passed","Tue May 16 20:42:20 GMT 2023","Tue May 16 20:42:51 GMT 2023","30819","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate invalid shipping in the product page",""
"passed","Tue May 16 18:44:05 GMT 2023","Tue May 16 18:45:03 GMT 2023","58217","","Checkout tests TF - Desktop","","","","Validade visa",""
"passed","Tue May 16 18:29:58 GMT 2023","Tue May 16 18:30:33 GMT 2023","35794","","Cart tests TF - Desktop","","","","Calculate alphanumeric shipping at Cart",""
"passed","Tue May 16 20:37:12 GMT 2023","Tue May 16 20:37:31 GMT 2023","18852","","Navigation tests TF - Mobile","","","","Validate footer TF links - SamsungS10",""
"passed","Tue May 16 20:42:54 GMT 2023","Tue May 16 20:43:10 GMT 2023","15741","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 validate price block",""
"passed","Tue May 16 19:55:17 GMT 2023","Tue May 16 19:55:56 GMT 2023","39827","","Cart tests TF - Mobile","","","","At SamsungS10 Reduce item quantity in the cart",""
"passed","Tue May 16 19:56:25 GMT 2023","Tue May 16 19:56:44 GMT 2023","19104","","Cart tests TF - Mobile","","","","At SamsungS10 invalid shipping at Cart",""
"passed","Tue May 16 18:53:33 GMT 2023","Tue May 16 18:54:04 GMT 2023","30977","","My Account tests TF - Desktop","","","","At Desktop check my orders",""
"passed","Tue May 16 19:10:03 GMT 2023","Tue May 16 19:10:18 GMT 2023","14989","","Product Detail Page tests TF - Desktop","","","","At Desktop validate product image",""
"passed","Tue May 16 20:17:58 GMT 2023","Tue May 16 20:18:56 GMT 2023","58008","","Checkout tests TF - Mobile","","","","Validade mastercard - SamsungS10",""
"passed","Tue May 16 20:20:34 GMT 2023","Tue May 16 20:21:00 GMT 2023","26235","","Checkout tests TF - Mobile","","","","Validade mandatory phone alert is displayed - SamsungS10",""
"passed","Tue May 16 18:45:07 GMT 2023","Tue May 16 18:46:07 GMT 2023","60814","","Checkout tests TF - Desktop","","","","Validade american express",""
"passed","Tue May 16 20:36:33 GMT 2023","Tue May 16 20:36:47 GMT 2023","13880","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from Home to Home - SamsungS10",""
"passed","Tue May 16 20:24:38 GMT 2023","Tue May 16 20:25:20 GMT 2023","41484","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect email and password",""
"passed","Tue May 16 19:10:50 GMT 2023","Tue May 16 19:11:18 GMT 2023","27722","","Product Detail Page tests TF - Desktop","","","","At Desktop Calculate invalid shipping in the product page",""
"failed","Tue May 16 19:59:36 GMT 2023","Tue May 16 20:00:47 GMT 2023","70712","","Cart tests TF - Mobile","","","","At SamsungS10 Add invalid discount coupon",""
"failed","Tue May 16 18:58:21 GMT 2023","Tue May 16 18:59:25 GMT 2023","64348","","Navigation tests TF - Desktop","","","","Test the redirection of the TF logo from Home to Home",""
"passed","Tue May 16 19:54:14 GMT 2023","Tue May 16 19:54:32 GMT 2023","18392","","Cart tests TF - Mobile","","","","At SamsungS10 Clear all cart",""
"passed","Tue May 16 18:47:51 GMT 2023","Tue May 16 18:48:16 GMT 2023","25240","","Login tests TF - Desktop","","","","Login with incorrect email",""
"passed","Tue May 16 18:50:40 GMT 2023","Tue May 16 18:51:39 GMT 2023","59121","","My Account tests TF - Desktop","","","","At Desktop edit an address",""
"passed","Tue May 16 18:31:48 GMT 2023","Tue May 16 18:32:13 GMT 2023","24485","","Category tests TF - Desktop","","","","Validate product card",""
"passed","Tue May 16 20:23:54 GMT 2023","Tue May 16 20:24:35 GMT 2023","41103","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect email",""
"passed","Tue May 16 18:32:44 GMT 2023","Tue May 16 18:33:08 GMT 2023","23327","","Category tests TF - Desktop","","","","Validate ordenation by Mais recentes",""
"passed","Tue May 16 19:11:21 GMT 2023","Tue May 16 19:11:55 GMT 2023","33916","","Product Detail Page tests TF - Desktop","","","","At Desktop Share Product",""
"passed","Tue May 16 18:27:05 GMT 2023","Tue May 16 18:27:44 GMT 2023","39380","","Cart tests TF - Desktop","","","","Remove item from the cart",""
"passed","Tue May 16 18:46:49 GMT 2023","Tue May 16 18:47:19 GMT 2023","29463","","Login tests TF - Desktop","","","","Login with valid e-mail and password",""
"failed","Tue May 16 20:05:53 GMT 2023","Tue May 16 20:07:06 GMT 2023","73448","","Category tests TF - Mobile","","","","Validate ordenation by Descontos SamsungS10",""
"passed","Tue May 16 20:26:07 GMT 2023","Tue May 16 20:27:56 GMT 2023","108921","","Login tests TF - Mobile","","","","At SamsungS10 Loggout",""
"passed","Tue May 16 20:02:49 GMT 2023","Tue May 16 20:03:15 GMT 2023","25564","","Category tests TF - Mobile","","","","Validate ordenation by Mais recentes SamsungS10",""
"passed","Tue May 16 18:48:20 GMT 2023","Tue May 16 18:48:44 GMT 2023","24592","","Login tests TF - Desktop","","","","Login with incorrect email and password",""
"passed","Tue May 16 20:19:32 GMT 2023","Tue May 16 20:20:02 GMT 2023","29756","","Checkout tests TF - Mobile","","","","Validade mandatory lastname alert is displayed - SamsungS10",""
"passed","Tue May 16 18:42:59 GMT 2023","Tue May 16 18:44:02 GMT 2023","62207","","Checkout tests TF - Desktop","","","","Validade mastercard",""
