"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 13 01:02:17 GMT 2023","Sat May 13 01:03:21 GMT 2023","64490","","My Account tests TF - Mobile","","","","At SamsungS10 edit personal data - Gender F",""
"passed","Sat May 13 00:51:55 GMT 2023","Sat May 13 00:52:16 GMT 2023","20439","","Product Detail Page tests TF - Desktop","","","","At Desktop validate price block",""
"passed","Sat May 13 00:51:20 GMT 2023","Sat May 13 00:51:35 GMT 2023","14621","","Navigation tests TF - Desktop","","","","Validate footer TF links",""
"passed","Sat May 13 01:00:41 GMT 2023","Sat May 13 01:01:50 GMT 2023","69114","","Login tests TF - Mobile","","","","At SamsungS10 Login with valid e-mail and password",""
"passed","Sat May 13 00:46:20 GMT 2023","Sat May 13 00:47:17 GMT 2023","56302","","Cart tests TF - Desktop","","","","Add item to cart",""
"passed","Sat May 13 01:04:35 GMT 2023","Sat May 13 01:04:53 GMT 2023","17884","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from PLP to Home - SamsungS10",""
"passed","Sat May 13 00:48:18 GMT 2023","Sat May 13 00:48:48 GMT 2023","29923","","Checkout tests TF - Desktop","","","","Validade mandatory document alert is displayed",""
"passed","Sat May 13 00:59:26 GMT 2023","Sat May 13 01:00:19 GMT 2023","52748","","Checkout tests TF - Mobile","","","","Validade visa - SamsungS10",""
"passed","Sat May 13 01:05:26 GMT 2023","Sat May 13 01:05:54 GMT 2023","27708","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate invalid shipping in the product page",""
"passed","Sat May 13 00:47:36 GMT 2023","Sat May 13 00:47:57 GMT 2023","20483","","Category tests TF - Desktop","","","","Validate product card",""
"passed","Sat May 13 00:49:07 GMT 2023","Sat May 13 00:49:32 GMT 2023","25373","","Login tests TF - Desktop","","","","Login with valid e-mail and password",""
"passed","Sat May 13 00:49:58 GMT 2023","Sat May 13 00:50:56 GMT 2023","58047","","My Account tests TF - Desktop","","","","At Desktop edit an address",""
"passed","Sat May 13 00:58:42 GMT 2023","Sat May 13 00:59:01 GMT 2023","19193","","Category tests TF - Mobile","","","","Validate product card SamsungS10",""
"passed","Sat May 13 00:57:24 GMT 2023","Sat May 13 00:58:18 GMT 2023","54298","","Cart tests TF - Mobile","","","","At SamsungS10 Add item to cart",""
