"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","My Account tests TF - Desktop","","0","0","5","0","0"
"","Category tests TF - Mobile","","2","0","7","0","0"
"","Category tests TF - Desktop","","1","0","8","0","0"
"","Login tests TF - Desktop","","0","0","6","0","0"
"","Checkout tests TF - Desktop","","0","0","7","0","0"
"","Product Detail Page tests TF - Desktop","","0","0","7","0","0"
"","Cart tests TF - Mobile","","1","0","9","0","0"
"","Navigation tests TF - Desktop","","4","0","2","0","0"
"","Login tests TF - Mobile","","0","0","6","0","0"
"","Navigation tests TF - Mobile","","1","0","5","0","0"
"","Checkout tests TF - Mobile","","0","0","7","0","0"
"","Product Detail Page tests TF - Mobile","","0","0","7","0","0"
"","Cart tests TF - Desktop","","2","0","8","0","0"
"","My Account tests TF - Mobile","","0","0","5","0","0"
