"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 21:10:00 GMT 2023","Wed May 24 21:10:49 GMT 2023","49907","","My Account tests TF - Desktop","","","","At Desktop edit personal data - Gender M",""
"passed","Wed May 24 21:53:44 GMT 2023","Wed May 24 21:54:07 GMT 2023","22793","","Category tests TF - Mobile","","","","Validate product card SamsungS10",""
"passed","Wed May 24 20:56:59 GMT 2023","Wed May 24 20:57:23 GMT 2023","24460","","Category tests TF - Desktop","","","","Validate ordenation by De Z a A",""
"passed","Wed May 24 21:04:59 GMT 2023","Wed May 24 21:05:24 GMT 2023","25109","","Login tests TF - Desktop","","","","Login with incorrect password",""
"passed","Wed May 24 21:04:29 GMT 2023","Wed May 24 21:04:56 GMT 2023","26076","","Login tests TF - Desktop","","","","Login with valid e-mail and password",""
"passed","Wed May 24 21:00:03 GMT 2023","Wed May 24 21:00:31 GMT 2023","27873","","Checkout tests TF - Desktop","","","","Validade mandatory lastname alert is displayed",""
"passed","Wed May 24 21:27:54 GMT 2023","Wed May 24 21:28:20 GMT 2023","26543","","Product Detail Page tests TF - Desktop","","","","At Desktop Calculate invalid shipping in the product page",""
"failed","Wed May 24 21:51:34 GMT 2023","Wed May 24 21:52:47 GMT 2023","72885","","Cart tests TF - Mobile","","","","At SamsungS10 Add invalid discount coupon",""
"passed","Wed May 24 20:56:28 GMT 2023","Wed May 24 20:56:53 GMT 2023","24447","","Category tests TF - Desktop","","","","Validate ordenation by De A a Z",""
"failed","Wed May 24 21:25:07 GMT 2023","Wed May 24 21:25:27 GMT 2023","19798","","Navigation tests TF - Desktop","","","","Browse for categories",""
"passed","Wed May 24 22:15:01 GMT 2023","Wed May 24 22:15:41 GMT 2023","39566","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect email and password",""
"failed","Wed May 24 22:30:56 GMT 2023","Wed May 24 22:32:04 GMT 2023","68462","","Navigation tests TF - Mobile","","","","Browse for categories - SamsungS10",""
"passed","Wed May 24 21:11:29 GMT 2023","Wed May 24 21:12:23 GMT 2023","53690","","My Account tests TF - Desktop","","","","At Desktop add a new address",""
"passed","Wed May 24 22:09:41 GMT 2023","Wed May 24 22:10:11 GMT 2023","29746","","Checkout tests TF - Mobile","","","","Validade mandatory firstname alert is displayed - SamsungS10",""
"failed","Wed May 24 21:18:57 GMT 2023","Wed May 24 21:20:05 GMT 2023","68624","","Navigation tests TF - Desktop","","","","Test the redirection of the TF logo from PLP to Home",""
"passed","Wed May 24 22:35:01 GMT 2023","Wed May 24 22:35:05 GMT 2023","4318","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 validate button wishlist",""
"passed","Wed May 24 21:02:03 GMT 2023","Wed May 24 21:02:56 GMT 2023","53189","","Checkout tests TF - Desktop","","","","Validade visa",""
"passed","Wed May 24 20:51:23 GMT 2023","Wed May 24 20:51:45 GMT 2023","22189","","Category tests TF - Desktop","","","","Validate ordenation by Mais recentes",""
"passed","Wed May 24 20:55:31 GMT 2023","Wed May 24 20:55:54 GMT 2023","22895","","Category tests TF - Desktop","","","","Validate ordenation by Maior preço",""
"failed","Wed May 24 20:38:26 GMT 2023","Wed May 24 20:40:14 GMT 2023","107452","","Cart tests TF - Desktop","","","","Add two items to cart",""
"passed","Wed May 24 21:06:23 GMT 2023","Wed May 24 21:06:49 GMT 2023","25705","","Login tests TF - Desktop","","","","Login with invalid email format",""
"passed","Wed May 24 22:32:53 GMT 2023","Wed May 24 22:33:22 GMT 2023","29758","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate invalid shipping in the product page",""
"passed","Wed May 24 21:45:54 GMT 2023","Wed May 24 21:46:22 GMT 2023","27457","","Cart tests TF - Mobile","","","","At SamsungS10 Remove item from the cart",""
"passed","Wed May 24 22:00:35 GMT 2023","Wed May 24 22:01:02 GMT 2023","27249","","Category tests TF - Mobile","","","","Validate ordenation by Menor preço SamsungS10",""
"passed","Wed May 24 20:50:31 GMT 2023","Wed May 24 20:50:53 GMT 2023","21932","","Category tests TF - Desktop","","","","Validate product card",""
"passed","Wed May 24 22:34:07 GMT 2023","Wed May 24 22:34:32 GMT 2023","25206","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate valid shipping in the product page",""
"passed","Wed May 24 21:29:00 GMT 2023","Wed May 24 21:29:14 GMT 2023","13786","","Product Detail Page tests TF - Desktop","","","","At Desktop validate button wishlist",""
"passed","Wed May 24 22:14:19 GMT 2023","Wed May 24 22:14:58 GMT 2023","39711","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect email",""
"failed","Wed May 24 20:54:14 GMT 2023","Wed May 24 20:55:28 GMT 2023","74473","","Category tests TF - Desktop","","","","Validate ordenation by Descontos",""
"passed","Wed May 24 21:41:18 GMT 2023","Wed May 24 21:42:15 GMT 2023","56452","","Cart tests TF - Mobile","","","","At SamsungS10 Add item to cart",""
"passed","Wed May 24 20:41:07 GMT 2023","Wed May 24 20:41:37 GMT 2023","30179","","Cart tests TF - Desktop","","","","Calculate invalid shipping at Cart",""
"passed","Wed May 24 22:08:42 GMT 2023","Wed May 24 22:09:37 GMT 2023","55821","","Checkout tests TF - Mobile","","","","Validade mastercard - SamsungS10",""
"passed","Wed May 24 20:48:17 GMT 2023","Wed May 24 20:48:49 GMT 2023","31884","","Cart tests TF - Desktop","","","","Calculate valid shipping at Cart",""
"passed","Wed May 24 21:47:27 GMT 2023","Wed May 24 21:48:02 GMT 2023","34642","","Cart tests TF - Mobile","","","","At SamsungS10 Reduce item quantity in the cart",""
"passed","Wed May 24 22:35:08 GMT 2023","Wed May 24 22:35:22 GMT 2023","13992","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 validate size selector",""
"passed","Wed May 24 22:00:05 GMT 2023","Wed May 24 22:00:29 GMT 2023","24339","","Category tests TF - Mobile","","","","Validate ordenation by Maior preço SamsungS10",""
"passed","Wed May 24 22:11:15 GMT 2023","Wed May 24 22:11:39 GMT 2023","24141","","Checkout tests TF - Mobile","","","","Validade mandatory phone alert is displayed - SamsungS10",""
"passed","Wed May 24 21:08:03 GMT 2023","Wed May 24 21:09:02 GMT 2023","59314","","My Account tests TF - Desktop","","","","At Desktop edit an address",""
"passed","Wed May 24 20:46:35 GMT 2023","Wed May 24 20:47:18 GMT 2023","43567","","Cart tests TF - Desktop","","","","Clear all cart",""
"passed","Wed May 24 21:28:24 GMT 2023","Wed May 24 21:28:57 GMT 2023","33313","","Product Detail Page tests TF - Desktop","","","","At Desktop Share Product",""
"passed","Wed May 24 20:50:57 GMT 2023","Wed May 24 20:51:18 GMT 2023","21339","","Category tests TF - Desktop","","","","Validate ordenation by Mais Vendidos",""
"passed","Wed May 24 22:19:05 GMT 2023","Wed May 24 22:20:18 GMT 2023","73360","","My Account tests TF - Mobile","","","","At SamsungS10 edit personal data - Gender F",""
"passed","Wed May 24 22:16:27 GMT 2023","Wed May 24 22:18:09 GMT 2023","101639","","Login tests TF - Mobile","","","","At SamsungS10 Loggout",""
"passed","Wed May 24 21:23:40 GMT 2023","Wed May 24 21:24:15 GMT 2023","34726","","Navigation tests TF - Desktop","","","","Test the search bar with non inexistent product",""
"passed","Wed May 24 22:27:26 GMT 2023","Wed May 24 22:27:43 GMT 2023","16941","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from PDP to Home - SamsungS10",""
"passed","Wed May 24 21:27:09 GMT 2023","Wed May 24 21:27:23 GMT 2023","14904","","Product Detail Page tests TF - Desktop","","","","At Desktop validate product image",""
"passed","Wed May 24 22:07:42 GMT 2023","Wed May 24 22:08:38 GMT 2023","56237","","Checkout tests TF - Mobile","","","","Validade american express - SamsungS10",""
"passed","Wed May 24 22:22:44 GMT 2023","Wed May 24 22:23:57 GMT 2023","73605","","My Account tests TF - Mobile","","","","At SamsungS10 edit an address",""
"passed","Wed May 24 20:55:59 GMT 2023","Wed May 24 20:56:23 GMT 2023","24312","","Category tests TF - Desktop","","","","Validate ordenation by Menor preço",""
"failed","Wed May 24 21:58:52 GMT 2023","Wed May 24 22:00:02 GMT 2023","70002","","Category tests TF - Mobile","","","","Validate ordenation by Descontos SamsungS10",""
"passed","Wed May 24 20:45:49 GMT 2023","Wed May 24 20:46:30 GMT 2023","41628","","Cart tests TF - Desktop","","","","Remove item from the cart",""
"passed","Wed May 24 22:01:09 GMT 2023","Wed May 24 22:01:37 GMT 2023","27690","","Category tests TF - Mobile","","","","Validate ordenation by De A a Z SamsungS10",""
"failed","Wed May 24 22:04:48 GMT 2023","Wed May 24 22:06:04 GMT 2023","76169","","Category tests TF - Mobile","","","","Validate Button Mostrar Mais SamsungS10",""
"passed","Wed May 24 21:48:29 GMT 2023","Wed May 24 21:48:46 GMT 2023","17488","","Cart tests TF - Mobile","","","","At SamsungS10 invalid shipping at Cart",""
"passed","Wed May 24 22:24:01 GMT 2023","Wed May 24 22:24:52 GMT 2023","50943","","My Account tests TF - Mobile","","","","At SamsungS10 check my orders",""
"passed","Wed May 24 22:26:40 GMT 2023","Wed May 24 22:26:55 GMT 2023","14706","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from Home to Home - SamsungS10",""
"passed","Wed May 24 22:27:47 GMT 2023","Wed May 24 22:28:05 GMT 2023","17334","","Navigation tests TF - Mobile","","","","Validate footer TF links - SamsungS10",""
"passed","Wed May 24 21:26:44 GMT 2023","Wed May 24 21:27:05 GMT 2023","20548","","Product Detail Page tests TF - Desktop","","","","At Desktop validate price block",""
"passed","Wed May 24 22:10:45 GMT 2023","Wed May 24 22:11:11 GMT 2023","26627","","Checkout tests TF - Mobile","","","","Validade mandatory document alert is displayed - SamsungS10",""
"passed","Wed May 24 21:05:55 GMT 2023","Wed May 24 21:06:20 GMT 2023","24808","","Login tests TF - Desktop","","","","Login with incorrect email and password",""
"passed","Wed May 24 21:03:00 GMT 2023","Wed May 24 21:03:52 GMT 2023","52138","","Checkout tests TF - Desktop","","","","Validade american express",""
"passed","Wed May 24 22:20:22 GMT 2023","Wed May 24 22:21:28 GMT 2023","65624","","My Account tests TF - Mobile","","","","At SamsungS10 edit personal data - Gender M",""
"passed","Wed May 24 21:55:22 GMT 2023","Wed May 24 21:55:47 GMT 2023","24810","","Category tests TF - Mobile","","","","Validate ordenation by Mais Vendidos SamsungS10",""
"passed","Wed May 24 22:10:14 GMT 2023","Wed May 24 22:10:42 GMT 2023","28106","","Checkout tests TF - Mobile","","","","Validade mandatory lastname alert is displayed - SamsungS10",""
"passed","Wed May 24 22:13:35 GMT 2023","Wed May 24 22:14:15 GMT 2023","40181","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect password",""
"passed","Wed May 24 21:43:55 GMT 2023","Wed May 24 21:45:50 GMT 2023","115935","","Cart tests TF - Mobile","","","","At SamsungS10 Add two items to cart",""
"passed","Wed May 24 22:06:31 GMT 2023","Wed May 24 22:07:39 GMT 2023","67663","","Checkout tests TF - Mobile","","","","Validade visa - SamsungS10",""
