"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 13 00:02:49 GMT 2023","Sat May 13 00:03:12 GMT 2023","23189","","Login tests TF - Desktop","","","","Login with invalid email format",""
"passed","Fri May 12 23:58:48 GMT 2023","Fri May 12 23:59:08 GMT 2023","19763","","Category tests TF - Desktop","","","","Validate ordenation by Mais Vendidos",""
"passed","Sat May 13 00:22:13 GMT 2023","Sat May 13 00:23:22 GMT 2023","69211","","Login tests TF - Mobile","","","","At SamsungS10 Login with valid e-mail and password",""
"passed","Sat May 13 00:20:55 GMT 2023","Sat May 13 00:21:49 GMT 2023","54145","","Checkout tests TF - Mobile","","","","Validade visa - SamsungS10",""
"passed","Sat May 13 00:07:17 GMT 2023","Sat May 13 00:07:37 GMT 2023","19649","","Product Detail Page tests TF - Desktop","","","","At Desktop validate price block",""
"passed","Sat May 13 00:03:15 GMT 2023","Sat May 13 00:03:51 GMT 2023","36386","","Login tests TF - Desktop","","","","Loggout",""
"passed","Sat May 13 00:01:55 GMT 2023","Sat May 13 00:02:18 GMT 2023","23091","","Login tests TF - Desktop","","","","Login with incorrect email",""
"passed","Sat May 13 00:06:24 GMT 2023","Sat May 13 00:06:38 GMT 2023","14874","","Navigation tests TF - Desktop","","","","Validate footer TF links",""
"passed","Fri May 12 23:59:36 GMT 2023","Sat May 13 00:00:07 GMT 2023","30460","","Checkout tests TF - Desktop","","","","Validade mandatory document alert is displayed",""
"passed","Sat May 13 00:31:15 GMT 2023","Sat May 13 00:31:28 GMT 2023","12973","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from Home to Home - SamsungS10",""
"passed","Sat May 13 00:02:22 GMT 2023","Sat May 13 00:02:46 GMT 2023","24393","","Login tests TF - Desktop","","","","Login with incorrect email and password",""
"passed","Fri May 12 23:51:47 GMT 2023","Fri May 12 23:52:44 GMT 2023","56127","","Cart tests TF - Desktop","","","","Add item to cart",""
"passed","Sat May 13 00:19:34 GMT 2023","Sat May 13 00:19:56 GMT 2023","22611","","Category tests TF - Mobile","","","","Validate product card SamsungS10",""
"passed","Sat May 13 00:23:25 GMT 2023","Sat May 13 00:24:05 GMT 2023","39472","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect password",""
"passed","Sat May 13 00:12:05 GMT 2023","Sat May 13 00:12:58 GMT 2023","53394","","Cart tests TF - Mobile","","","","At SamsungS10 Add item to cart",""
"passed","Sat May 13 00:20:01 GMT 2023","Sat May 13 00:20:23 GMT 2023","22255","","Category tests TF - Mobile","","","","Validate ordenation by Mais Vendidos SamsungS10",""
"passed","Sat May 13 00:26:10 GMT 2023","Sat May 13 00:27:46 GMT 2023","96691","","Login tests TF - Mobile","","","","At SamsungS10 Loggout",""
"passed","Sat May 13 00:28:27 GMT 2023","Sat May 13 00:29:34 GMT 2023","66750","","My Account tests TF - Mobile","","","","At SamsungS10 edit personal data - Gender F",""
"passed","Sat May 13 00:05:15 GMT 2023","Sat May 13 00:05:59 GMT 2023","43736","","My Account tests TF - Desktop","","","","At Desktop edit personal data - Gender F",""
"passed","Sat May 13 00:07:40 GMT 2023","Sat May 13 00:07:54 GMT 2023","14145","","Product Detail Page tests TF - Desktop","","","","At Desktop validate product image",""
"passed","Sat May 13 00:31:56 GMT 2023","Sat May 13 00:32:24 GMT 2023","27935","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate invalid shipping in the product page",""
"passed","Sat May 13 00:24:49 GMT 2023","Sat May 13 00:25:26 GMT 2023","36507","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect email and password",""
"passed","Sat May 13 00:24:08 GMT 2023","Sat May 13 00:24:46 GMT 2023","38029","","Login tests TF - Mobile","","","","At SamsungS10 Login with incorrect email",""
"passed","Sat May 13 00:00:10 GMT 2023","Sat May 13 00:00:35 GMT 2023","25316","","Checkout tests TF - Desktop","","","","Validade mandatory firstname alert is displayed",""
"passed","Sat May 13 00:04:17 GMT 2023","Sat May 13 00:05:12 GMT 2023","54939","","My Account tests TF - Desktop","","","","At Desktop edit an address",""
"passed","Sat May 13 00:06:42 GMT 2023","Sat May 13 00:06:54 GMT 2023","12356","","Navigation tests TF - Desktop","","","","Test the redirection of the TF logo from Home to Home",""
"passed","Sat May 13 00:01:27 GMT 2023","Sat May 13 00:01:52 GMT 2023","25177","","Login tests TF - Desktop","","","","Login with incorrect password",""
"passed","Sat May 13 00:25:29 GMT 2023","Sat May 13 00:26:07 GMT 2023","37676","","Login tests TF - Mobile","","","","Login with invalid email format - SamsungS10",""
"failed","Fri May 12 23:56:11 GMT 2023","Fri May 12 23:57:50 GMT 2023","99218","","Cart tests TF - Desktop","","","","Add two items to cart",""
"passed","Sat May 13 00:00:57 GMT 2023","Sat May 13 00:01:24 GMT 2023","26462","","Login tests TF - Desktop","","","","Login with valid e-mail and password",""
"passed","Fri May 12 23:58:20 GMT 2023","Fri May 12 23:58:44 GMT 2023","24117","","Category tests TF - Desktop","","","","Validate product card",""
"passed","Sat May 13 00:30:47 GMT 2023","Sat May 13 00:31:07 GMT 2023","19534","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from PLP to Home - SamsungS10",""
"failed","Sat May 13 00:16:16 GMT 2023","Sat May 13 00:18:57 GMT 2023","161371","","Cart tests TF - Mobile","","","","At SamsungS10 Add two items to cart",""
