"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 23 15:49:22 GMT 2023","Tue May 23 15:50:26 GMT 2023","64011","","Navigation tests TF - Desktop","","","","Test the redirection of the TF logo from Home to Home",""
"passed","Tue May 23 15:37:57 GMT 2023","Tue May 23 15:38:59 GMT 2023","61745","","Login tests TF - Desktop","","","","Loggout",""
"passed","Tue May 23 15:23:50 GMT 2023","Tue May 23 15:24:27 GMT 2023","36677","","Checkout tests TF - Desktop","","","","Validade mandatory firstname alert is displayed",""
"passed","Tue May 23 15:19:42 GMT 2023","Tue May 23 15:20:13 GMT 2023","30825","","Category tests TF - Desktop","","","","Validate ordenation by De A a Z",""
"passed","Tue May 23 17:28:58 GMT 2023","Tue May 23 17:30:25 GMT 2023","86784","","Checkout tests TF - Mobile","","","","Validade visa - SamsungS10",""
"passed","Tue May 23 17:35:06 GMT 2023","Tue May 23 17:35:44 GMT 2023","37885","","Checkout tests TF - Mobile","","","","Validade mandatory phone alert is displayed - SamsungS10",""
"passed","Tue May 23 17:03:54 GMT 2023","Tue May 23 17:04:59 GMT 2023","64812","","Cart tests TF - Mobile","","","","At SamsungS10 Add item to cart",""
"passed","Tue May 23 15:44:24 GMT 2023","Tue May 23 15:45:36 GMT 2023","71695","","My Account tests TF - Desktop","","","","At Desktop add a new address",""
"passed","Tue May 23 17:33:53 GMT 2023","Tue May 23 17:34:27 GMT 2023","33603","","Checkout tests TF - Mobile","","","","Validade mandatory lastname alert is displayed - SamsungS10",""
"passed","Tue May 23 16:03:54 GMT 2023","Tue May 23 16:04:32 GMT 2023","38075","","Product Detail Page tests TF - Desktop","","","","At Desktop Share Product",""
"passed","Tue May 23 18:06:51 GMT 2023","Tue May 23 18:07:08 GMT 2023","16807","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 validate product image",""
"passed","Tue May 23 17:25:12 GMT 2023","Tue May 23 17:25:44 GMT 2023","31823","","Category tests TF - Mobile","","","","Validate ordenation by De Z a A SamsungS10",""
"passed","Tue May 23 17:50:08 GMT 2023","Tue May 23 17:51:41 GMT 2023","93327","","My Account tests TF - Mobile","","","","At SamsungS10 edit an address",""
"passed","Tue May 23 17:56:07 GMT 2023","Tue May 23 17:56:32 GMT 2023","24227","","Navigation tests TF - Mobile","","","","Test the redirection of the TF logo from Home to Home - SamsungS10",""
"passed","Tue May 23 17:45:22 GMT 2023","Tue May 23 17:46:51 GMT 2023","88806","","My Account tests TF - Mobile","","","","At SamsungS10 edit personal data - Gender F",""
"passed","Tue May 23 15:09:59 GMT 2023","Tue May 23 15:10:40 GMT 2023","41133","","Cart tests TF - Desktop","","","","Calculate valid shipping at Cart",""
"passed","Tue May 23 18:07:14 GMT 2023","Tue May 23 18:07:44 GMT 2023","29684","","Product Detail Page tests TF - Mobile","","","","At SamsungS10 Calculate valid shipping in the product page",""
"failed","Tue May 23 15:17:13 GMT 2023","Tue May 23 15:18:30 GMT 2023","77248","","Category tests TF - Desktop","","","","Validate ordenation by Descontos",""
"passed","Tue May 23 15:10:46 GMT 2023","Tue May 23 15:11:26 GMT 2023","40057","","Cart tests TF - Desktop","","","","Calculate alphanumeric shipping at Cart",""
"passed","Tue May 23 15:19:08 GMT 2023","Tue May 23 15:19:38 GMT 2023","29987","","Category tests TF - Desktop","","","","Validate ordenation by Menor preço",""
"passed","Tue May 23 17:23:39 GMT 2023","Tue May 23 17:24:08 GMT 2023","28477","","Category tests TF - Mobile","","","","Validate ordenation by Menor preço SamsungS10",""
